date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:08:02	71788/71788	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2010:08:03%20GMT	https://jatimtimes.com/baca/294246/20230809/111900/ustaz-ini-sebut-keturunan-firaun-yang-jadi-penguasa-sejumlah-negara	C:/koleksi-koleksi%20Ustaz%20Auni/Jatim%20times/jatimtimes.com/baca/294246/20230809/111900/ustaz-ini-sebut-keturunan-firaun-yang-jadi-penguasa-sejumlah-negara.html	(from )
18:08:03	159/159	---MCZ	200	added ('OK')	text/plain	etag:%22106-66295027-1454ac;gz%22	https://jatimtimes.com/robots.txt		(from )
18:08:03	65743/65743	---M--	200	added ('OK')	image/jpeg	etag:%229f8434b1e1f75a66%22	https://i1.wp.com/risetcdn.jatimtimes.com/images/2023/08/09/Ustaz-Auni-Muhamed.-Foto-screenshot-Pde537f8a51dd6823.md.jpg?quality=50	C:/koleksi-koleksi%20Ustaz%20Auni/Jatim%20times/i1.wp.com/risetcdn.jatimtimes.com/images/2023/08/09/Ustaz-Auni-Muhamed.-Foto-screenshot-Pde537f8a51dd6823.md9772.jpg	(from https://jatimtimes.com/baca/294246/20230809/111900/ustaz-ini-sebut-keturunan-firaun-yang-jadi-penguasa-sejumlah-negara)
18:08:39	108429/108429	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2010:08:39%20GMT	https://jatimtimes.com/baca/294246/20230809/111900/inc/bootstrap/bootstrap.min.css	C:/koleksi-koleksi%20Ustaz%20Auni/Jatim%20times/jatimtimes.com/baca/294246/20230809/111900/inc/bootstrap/bootstrap.min.css	(from https://jatimtimes.com/baca/294246/20230809/111900/ustaz-ini-sebut-keturunan-firaun-yang-jadi-penguasa-sejumlah-negara)
18:09:18	108429/108429	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2010:09:18%20GMT	https://jatimtimes.com/baca/294246/20230809/111900/inc/owl-carousel/owl.carousel.min.css	C:/koleksi-koleksi%20Ustaz%20Auni/Jatim%20times/jatimtimes.com/baca/294246/20230809/111900/inc/owl-carousel/owl.carousel.min.3.delayed	(from https://jatimtimes.com/baca/294246/20230809/111900/ustaz-ini-sebut-keturunan-firaun-yang-jadi-penguasa-sejumlah-negara)
18:09:18	108263/108263	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2010:09:19%20GMT	https://jatimtimes.com/baca/294246/20230809/111900/inc/owl-carousel/owl.theme.default.css	C:/koleksi-koleksi%20Ustaz%20Auni/Jatim%20times/jatimtimes.com/baca/294246/20230809/111900/inc/owl-carousel/owl.theme.default.4.delayed	(from https://jatimtimes.com/baca/294246/20230809/111900/ustaz-ini-sebut-keturunan-firaun-yang-jadi-penguasa-sejumlah-negara)
18:09:18	88147/88147	---M-Z	200	added ('OK')	text/javascript	etag:%2215853-64d25bfe-13b16a;gz%22	https://jatimtimes.com/assets/js/lib/jquery-3.4.1.min.js	C:/koleksi-koleksi%20Ustaz%20Auni/Jatim%20times/jatimtimes.com/assets/js/lib/jquery-3.4.1.min.js	(from https://jatimtimes.com/baca/294246/20230809/111900/ustaz-ini-sebut-keturunan-firaun-yang-jadi-penguasa-sejumlah-negara)
18:09:19	1569/1569	---M--	200	added ('OK')	image/png	etag:%22d90520626fbe2abf%22	https://i1.wp.com/risetcdn.jatimtimes.com/images/favicon-32x32.png	C:/koleksi-koleksi%20Ustaz%20Auni/Jatim%20times/i1.wp.com/risetcdn.jatimtimes.com/images/favicon-32x32.png	(from https://jatimtimes.com/baca/294246/20230809/111900/ustaz-ini-sebut-keturunan-firaun-yang-jadi-penguasa-sejumlah-negara)
18:09:19	155344/155344	---M-Z	200	added ('OK')	text/css	etag:%2225ed0-64d25bfe-13b12a;gz%22	https://jatimtimes.com/assets/css/style.css	C:/koleksi-koleksi%20Ustaz%20Auni/Jatim%20times/jatimtimes.com/assets/css/style.css	(from https://jatimtimes.com/baca/294246/20230809/111900/ustaz-ini-sebut-keturunan-firaun-yang-jadi-penguasa-sejumlah-negara)
18:09:19	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/koleksi-koleksi%20Ustaz%20Auni/Jatim%20times/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://jatimtimes.com/baca/294246/20230809/111900/ustaz-ini-sebut-keturunan-firaun-yang-jadi-penguasa-sejumlah-negara)
