date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:48	57316/57316	---M-Z	200	added ('OK')	text/html	etag:%2253466-1715842752;gz%22	https://www.islamituindah.my/hentakan-tapak-kaki-dajjal-ustaz-auni-mohamed/	C:/koleksi-koleksi%20Ustaz%20Auni/islamituindah/www.islamituindah.my/hentakan-tapak-kaki-dajjal-ustaz-auni-mohamed/index.html	(from )
18:14:48	131/131	---M-Z	200	added ('OK')	text/plain	etag:%2247129-1715685263;gz%22	https://www.islamituindah.my/robots.txt		(from )
18:14:49	20662/20662	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Mar%202021%2017:07:32%20GMT	https://www.islamituindah.my/wp-content/thesis/skins/classic-r/css.css?v=1616000852	C:/koleksi-koleksi%20Ustaz%20Auni/islamituindah/www.islamituindah.my/wp-content/thesis/skins/classic-r/cssea1f.css	(from https://www.islamituindah.my/hentakan-tapak-kaki-dajjal-ustaz-auni-mohamed/)
18:14:49	113866/113866	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Oct%202018%2015:14:02%20GMT	https://www.islamituindah.my/wp-content/uploads/2018/10/Hentakan-Tapak-Kaki-Dajjal-Ustaz-Auni-Mohamed.jpg	C:/koleksi-koleksi%20Ustaz%20Auni/islamituindah/www.islamituindah.my/wp-content/uploads/2018/10/Hentakan-Tapak-Kaki-Dajjal-Ustaz-Auni-Mohamed.jpg	(from https://www.islamituindah.my/hentakan-tapak-kaki-dajjal-ustaz-auni-mohamed/)
18:14:49	110147/110147	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2022:48:46%20GMT	https://www.islamituindah.my/wp-includes/css/dist/block-library/style.min.css?ver=6.4.4	C:/koleksi-koleksi%20Ustaz%20Auni/islamituindah/www.islamituindah.my/wp-includes/css/dist/block-library/style.min5352.css	(from https://www.islamituindah.my/hentakan-tapak-kaki-dajjal-ustaz-auni-mohamed/)
18:14:50	24221/24221	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20Apr%202024%2010:54:32%20GMT	https://www.islamituindah.my/wp-content/plugins/mashsharer/assets/css/mashsb.min.css?ver=4.0.47	C:/koleksi-koleksi%20Ustaz%20Auni/islamituindah/www.islamituindah.my/wp-content/plugins/mashsharer/assets/css/mashsb.min7653.css	(from https://www.islamituindah.my/hentakan-tapak-kaki-dajjal-ustaz-auni-mohamed/)
18:14:51	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20May%202024%2010:14:51%20GMT	http://www.islamituindah.my/wp-content/plugins/social-icons/assets/css/social-icons.css?ver=1.7.4	C:/koleksi-koleksi%20Ustaz%20Auni/islamituindah/www.islamituindah.my/wp-content/plugins/social-icons/assets/css/social-icons.4b34d.delayed	(from https://www.islamituindah.my/hentakan-tapak-kaki-dajjal-ustaz-auni-mohamed/)
18:14:51	12056/12056	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Feb%202021%2008:00:48%20GMT	https://www.islamituindah.my/wp-content/plugins/social-icons/assets/css/social-icons.css?ver=1.7.4	C:/koleksi-koleksi%20Ustaz%20Auni/islamituindah/www.islamituindah.my/wp-content/plugins/social-icons/assets/css/social-iconsb34d.css	(from https://www.islamituindah.my/hentakan-tapak-kaki-dajjal-ustaz-auni-mohamed/)
18:14:51	911/911	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Apr%202024%2010:52:36%20GMT	https://www.islamituindah.my/wp-content/plugins/easy-custom-auto-excerpt/assets/style-frontend.css?ver=2.5.0	C:/koleksi-koleksi%20Ustaz%20Auni/islamituindah/www.islamituindah.my/wp-content/plugins/easy-custom-auto-excerpt/assets/style-frontend0875.css	(from https://www.islamituindah.my/hentakan-tapak-kaki-dajjal-ustaz-auni-mohamed/)
18:14:51	898/898	---M-Z	200	added ('OK')	application/rss+xml	etag:%22aaf898ff98347c122084c96643ded433%22	https://www.islamituindah.my/hentakan-tapak-kaki-dajjal-ustaz-auni-mohamed/feed/	C:/koleksi-koleksi%20Ustaz%20Auni/islamituindah/www.islamituindah.my/hentakan-tapak-kaki-dajjal-ustaz-auni-mohamed/feed/index.html	(from https://www.islamituindah.my/hentakan-tapak-kaki-dajjal-ustaz-auni-mohamed/)
