date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:23	131/131	---MCZ	200	added ('OK')	text/plain	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/robots.txt		(from )
17:41:24	175718/175718	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/index.html	(from )
17:41:25	3638/3638	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/favicon.ico	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/favicon.ico	(from https://koleksiustazauni.blogspot.com/)
17:41:27	20638/20638	---M-Z	200	added ('OK')	application/atom+xml	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/feeds/posts/default	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/feeds/posts/default	(from https://koleksiustazauni.blogspot.com/)
17:41:29	10028/10028	---M-Z	200	added ('OK')	application/rss+xml	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/feeds/posts/default?alt=rss	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/feeds/posts/default9522	(from https://koleksiustazauni.blogspot.com/)
17:41:29	11802/11802	---M--	200	added ('OK')	text/javascript	date:Thu,%2020%20Jul%202023%2022:48:00%20GMT	https://www.gstatic.com/external_hosted/clipboardjs/clipboard.min.js	C:/islamic%20figure/kuliah/www.gstatic.com/external_hosted/clipboardjs/clipboard.min.js	(from https://koleksiustazauni.blogspot.com/)
17:41:30	7658/7658	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2009%20Jul%202024%2005:54:11%20GMT	https://koleksiustazauni.blogspot.com/responsive/sprite_v1_6.css.svg	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/responsive/sprite_v1_6.css.svg	(from https://koleksiustazauni.blogspot.com/)
17:41:32	75008/75008	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Jul%202024%2009:41:34%20GMT	https://koleksiustazauni.blogspot.com/https	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/https.5.delayed	(from https://koleksiustazauni.blogspot.com/)
17:41:34	92073/92073	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/2018/02/kisah-nabi-idris-akhnukh-ustaz-auni.html	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018/02/kisah-nabi-idris-akhnukh-ustaz-auni.html	(from https://koleksiustazauni.blogspot.com/)
17:41:35	92207/92207	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/2018/02/021-tragedi-qabil-habil-ustaz-auni.html	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018/02/021-tragedi-qabil-habil-ustaz-auni.html	(from https://koleksiustazauni.blogspot.com/)
17:41:37	90410/90410	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/2018/02/ustaz-auni-mohamed-qabil-lari-ke.html	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018/02/ustaz-auni-mohamed-qabil-lari-ke.html	(from https://koleksiustazauni.blogspot.com/)
17:41:39	92250/92250	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/2018/02/ustaz-auni-mohamed-siapa-membina.html	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018/02/ustaz-auni-mohamed-siapa-membina.html	(from https://koleksiustazauni.blogspot.com/)
17:41:40	92233/92233	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/2018/02/revenge-of-fallen-20-ustaz-auni-mohamad.html	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018/02/revenge-of-fallen-20-ustaz-auni-mohamad.html	(from https://koleksiustazauni.blogspot.com/)
17:41:41	92130/92130	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/2018/02/revenge-of-fallen-ustaz-auni-mohamad.html	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018/02/revenge-of-fallen-ustaz-auni-mohamad.html	(from https://koleksiustazauni.blogspot.com/)
17:41:42	92164/92164	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/2018/02/033-imam-mahdi-10-ustaz-auni-mohamad.html	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018/02/033-imam-mahdi-10-ustaz-auni-mohamad.html	(from https://koleksiustazauni.blogspot.com/)
17:41:44	92259/92259	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2016:13:23%20GMT	https://koleksiustazauni.blogspot.com/2018/02/mestitengok-sejarah-rasul-illuminati.html	C:/islamic%20figure/kuliah/koleksiustazauni.blogspot.com/2018/02/mestitengok-sejarah-rasul-illuminati.html	(from https://koleksiustazauni.blogspot.com/)
