date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:57	175/175	---M-Z	200	added ('OK')	text/plain	etag:%2232187-1720517579;gz%22	https://www.majalahsains.com/robots.txt		(from )
17:32:59	103688/103688	---MCZ	200	added ('OK')	text/html	etag:%2232188-1720517581;gz%22	https://www.majalahsains.com/tembok-sempadan-antara-agama-dan-sains/	C:/islamic%20figure/majalah/www.majalahsains.com/tembok-sempadan-antara-agama-dan-sains/index.html	(from )
17:33:02	9131/9131	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2010%20May%202021%2012:33:35%20GMT	https://www.majalahsains.com/wp-content/plugins/google-analytics-dashboard-for-wp/assets/js/frontend-gtag.min.js?ver=6.7.0	C:/islamic%20figure/majalah/www.majalahsains.com/wp-content/plugins/google-analytics-dashboard-for-wp/assets/js/frontend-gtag.minbdeb.js	(from https://www.majalahsains.com/tembok-sempadan-antara-agama-dan-sains/)
17:33:02	9170/9170	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2010%20May%202021%2012:33:41%20GMT	https://www.majalahsains.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=7.17.0	C:/islamic%20figure/majalah/www.majalahsains.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min3db5.js	(from https://www.majalahsains.com/tembok-sempadan-antara-agama-dan-sains/)
17:33:02	96873/96873	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20May%202019%2001:55:54%20GMT	https://www.majalahsains.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/islamic%20figure/majalah/www.majalahsains.com/wp-includes/js/jquery/jquery4a5f.js	(from https://www.majalahsains.com/tembok-sempadan-antara-agama-dan-sains/)
17:33:03	2684/2684	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Jun%202018%2015:47:51%20GMT	https://www.majalahsains.com/wp-content/uploads/2017/02/favicon-2017.png	C:/islamic%20figure/majalah/www.majalahsains.com/wp-content/uploads/2017/02/favicon-2017.png	(from https://www.majalahsains.com/tembok-sempadan-antara-agama-dan-sains/)
17:33:03	14591/14591	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jun%202018%2008:23:44%20GMT	https://www.majalahsains.com/wp-content/uploads/2018/06/logo-retina-majalah-sains-2018.png	C:/islamic%20figure/majalah/www.majalahsains.com/wp-content/uploads/2018/06/logo-retina-majalah-sains-2018.png	(from https://www.majalahsains.com/tembok-sempadan-antara-agama-dan-sains/)
17:33:03	13307/13307	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jun%202018%2012:42:36%20GMT	https://www.majalahsains.com/wp-content/uploads/2018/06/logo-ms-mobile.png	C:/islamic%20figure/majalah/www.majalahsains.com/wp-content/uploads/2018/06/logo-ms-mobile.png	(from https://www.majalahsains.com/tembok-sempadan-antara-agama-dan-sains/)
17:33:03	8005/8005	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jun%202018%2015:08:56%20GMT	https://www.majalahsains.com/wp-content/uploads/2018/06/logo-ms-2018.png	C:/islamic%20figure/majalah/www.majalahsains.com/wp-content/uploads/2018/06/logo-ms-2018.png	(from https://www.majalahsains.com/tembok-sempadan-antara-agama-dan-sains/)
17:33:03	130065/130065	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Feb%202022%2007:48:34%20GMT	https://www.majalahsains.com/wp-content/uploads/2022/02/sains-dan-agama2.jpeg	C:/islamic%20figure/majalah/www.majalahsains.com/wp-content/uploads/2022/02/sains-dan-agama2.jpg	(from https://www.majalahsains.com/tembok-sempadan-antara-agama-dan-sains/)
